"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 07 09:03:45 GMT 2024","Tue May 07 09:04:03 GMT 2024","17663","","","","","","Verify redirection for Documentation link",""
"passed","Tue May 07 09:02:32 GMT 2024","Tue May 07 09:02:32 GMT 2024","455","","","","","","Verify ""Batch"" column in ""Latest Batches"" table",""
"passed","Tue May 07 09:02:38 GMT 2024","Tue May 07 09:02:39 GMT 2024","906","","","","","","Verify Latest transaction ""Fee"" on Account page",""
"passed","Tue May 07 09:03:04 GMT 2024","Tue May 07 09:03:10 GMT 2024","5902","","","","","","Verify redirection from Transaction page after ""block number"" click",""
"passed","Tue May 07 09:02:31 GMT 2024","Tue May 07 09:02:32 GMT 2024","507","","","","","","Verify ""Status"" column in ""Latest Batches"" table",""
"passed","Tue May 07 09:04:35 GMT 2024","Tue May 07 09:04:41 GMT 2024","6447","","","","","","Verify redirection from Tokens page after ""token address"" click",""
"passed","Tue May 07 09:02:27 GMT 2024","Tue May 07 09:02:28 GMT 2024","942","","","","","","Check copy button action on ""/tx/0xe84dcdaa4e40c9899763c8f55255376fd77f3a588be0fe0afa69f153a0ae3f10"" page",""
"passed","Tue May 07 09:02:27 GMT 2024","Tue May 07 09:02:28 GMT 2024","1156","","","","","","Verify column ""Balance"" for Balances on Account page",""
"passed","Tue May 07 09:02:44 GMT 2024","Tue May 07 09:02:50 GMT 2024","6136","","","","","","Verify contract link on the Contacts page",""
"passed","Tue May 07 09:02:59 GMT 2024","Tue May 07 09:03:00 GMT 2024","1059","","","","","","Check data type dropdown for ""Data"" and select ""Address""",""
"passed","Tue May 07 09:02:36 GMT 2024","Tue May 07 09:02:37 GMT 2024","929","","","","","","Verify Transaction table contains ""Status"" row",""
"passed","Tue May 07 09:02:44 GMT 2024","Tue May 07 09:02:45 GMT 2024","1155","","","","","","Check data type dropdown for ""Topics"" and select ""Address""",""
"passed","Tue May 07 09:03:54 GMT 2024","Tue May 07 09:04:00 GMT 2024","5427","","","","","","Verify redirection for ""verified blocks"" from Main Page",""
"passed","Tue May 07 09:02:34 GMT 2024","Tue May 07 09:02:34 GMT 2024","675","","","","","","Search incorrect tx hash with ""0xW6adbc2511be767d03be088a4242d07829433e0bbb9d8a27489b971f1113ecff""",""
"passed","Tue May 07 09:02:23 GMT 2024","Tue May 07 09:02:23 GMT 2024","807","","","","","","Check zkSync logo redirection from Account page to Main page",""
"passed","Tue May 07 09:02:36 GMT 2024","Tue May 07 09:02:37 GMT 2024","1071","","","","","","Verify Latest transaction ""Method"" on Account page",""
"passed","Tue May 07 09:02:49 GMT 2024","Tue May 07 09:02:51 GMT 2024","1589","","","","","","Check account address hashes copying for Account page",""
"passed","Tue May 07 09:02:53 GMT 2024","Tue May 07 09:02:54 GMT 2024","1172","","","","","","Verify Contract tab for ""Are you owner of this smart-contract?"" visibility on Contracts page",""
